,variable,value
MO3,MO11,-0.9660698717118271
MO4,MO6,-0.9640512073219161
MO3,MO4,0.9263172909008761
MO3,MO6,-0.9076591188348079
MO11,MO12,0.8555831563125763
MO4,MO11,-0.8444018554125282
MO6,MO11,0.8414455547075954
MO3,MO12,-0.8185445289228066
MO4,MO12,-0.7828509368546382
time,MO6,0.7538390755600003
time,MO4,-0.7400916763295204
MO4,MO14,-0.7267262100512635
time,MO3,-0.7147301803056524
MO6,MO12,0.6996770571847485
time,MO11,0.6755101945305865
time,MO12,0.6335217126673646
MO3,MO14,-0.5904970608452211
MO6,MO14,0.5388457732411384
MO12,MO14,0.5144885785672608
MO11,MO14,0.44770132596842566
time,MO14,0.4121228931883221
